,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,@clockchain_ @JasonYanowitz @Gemini @AssetInvestment You are doing it right though. Qualified accounts are the best… https://t.co/1WwcohePb4,1237917722056376320,2020-03-12 01:45:58,Twitter Web App,en,,Positif, you are doing it right though qualified accounts are the best 
1,"The current Bitcoin price in AUD is $12065.6996, The current Ethereum price in AUD is $291.1230769230769",1237917712929697792,2020-03-12 01:45:56,Twitter-Auto-Post-Test-Node-App,en,,Netral,the current bitcoin price in aud is 120656996 the current ethereum price in aud is 2911230769230769
2,RT @Lionel46294550: #xrp #xrpcommunity If there is a financial crash and the banks start going under bitcoin won’t have any on or off ramps…,1237917709066743811,2020-03-12 01:45:55,Twitter for iPhone,en,,Netral, xrp xrpcommunity if there is a financial crash and the banks start going under bitcoin won t have any on or off ramps 
3,"“Bitcoin Is Not A Safe Haven Asset…Yet”, Analyst Debates As BTC Tests $8,000 USD - https://t.co/S5wimwew32",1237917700711747585,2020-03-12 01:45:53,App for blockboard.net,en,,Negatif, bitcoin is not a safe haven asset yet  analyst debates as btc tests 8000 usd  
4,@MartyBent Never a bad time to stack these days,1237917684458598400,2020-03-12 01:45:50,Twitter for Android,en,,Positif, never a bad time to stack these days
5,"RT @LinkupVe: #URGENTE #ATENCION #11Mar
You do not know how to earn #Money #Crypto in a simple way #free in #cryptocurrencies that can conv…",1237917674606223360,2020-03-12 01:45:47,Twitter for Android,en,,Positif, urgente atencion 11mar you do not know how to earn money crypto in a simple way free in cryptocurrencies that can conv 
6,@meaculpaK9 @CryptoMessiah @KirklandJones Some people may hold Bitcoin as a speculative art piece. Like a valuable… https://t.co/2jPVZWjcqm,1237917672156905475,2020-03-12 01:45:47,Twitter for Android,en,,Netral, some people may hold bitcoin as a speculative art piece like a valuable 
7,"RT @JacobCanfield: Don't panic. Think logically. Make your plan.

There are two support levels to watch for on #Bitcoin 

The weekly 100MA…",1237917671209000960,2020-03-12 01:45:46,Twitter Web App,en,,Positif, dont panic think logically make your plan there are two support levels to watch for on bitcoin the weekly 100ma 
8,Everybody needs to relax. The world is not ending. Market suppression and short-term shock should not be enough to… https://t.co/6LDTrb8Vtu,1237917667371204612,2020-03-12 01:45:45,Twitter for iPhone,en,,Netral,everybody needs to relax the world is not ending market suppression and shortterm shock should not be enough to 
9,"RT @AmoreLoveAmor: I like #Bitcoin but I love #DigiByte

RT and check out my pinned post for a DigiByte tip! 

@coinkit_ mon 1 500 DGB http…",1237917664460169216,2020-03-12 01:45:45,Twitter for Android,en,,Positif, i like bitcoin but i love digibyte rt and check out my pinned post for a digibyte tip mon 1 500 dgb http 
10,RT @jchervinsky: That friend who told you about bitcoin before anyone knew about it is probably the same friend telling you about coronavir…,1237917661448867840,2020-03-12 01:45:44,Twitter for Android,en,,Netral, that friend who told you about bitcoin before anyone knew about it is probably the same friend telling you about coronavir 
11,"@Ragnarly Within two weeks, we'll all be dead.

Wait, Bitcoin?",1237917647938785281,2020-03-12 01:45:41,Twitter Web App,en,,Negatif, within two weeks well all be dead wait bitcoin
