,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,RT @cryptanalyser: #BTCUSD Market #1H timeframe on  March 13 at 13:00 (UTC)  is #Bearish.  #cryptocurrency #bitcoin  #btc #crypto #trading…,1238468783208988673,2020-03-13 14:15:42,Twitter Web App,en,,Netral, btcusd market 1h timeframe on march 13 at 1300 utc is bearish cryptocurrency bitcoin btc crypto trading 
1,Bitcoin isn't magic. It behaves the way its owners behave. When normal people around the world buy it because they'… https://t.co/9FKDYtSUtO,1238468781866995712,2020-03-13 14:15:41,Twitter Web App,en,,Positif,bitcoin isnt magic it behaves the way its owners behave when normal people around the world buy it because they 
2,RT @APompliano: Treasury Secretary Mnuchin just said the Federal Reserve and Treasury are working to provide “unlimited liquidity” to the f…,1238468781741166593,2020-03-13 14:15:41,Twitter for Android,en,,Netral, treasury secretary mnuchin just said the federal reserve and treasury are working to provide unlimited liquidity to the f 
3,"@PeterSchiff $5,707 at block: 621,485.

You can still send bitcoin to locked down counties in a second using the lightning network.",1238468775227219968,2020-03-13 14:15:40,Twitter for Android,en,,Negatif, 5707 at block 621485 you can still send bitcoin to locked down counties in a second using the lightning network
4,@Ben__Rickert @NickSzabo4 Something like this... #Bitcoin https://t.co/qvPS1gfULa,1238468768818495488,2020-03-13 14:15:38,Twitter for iPhone,en,,Netral, something like this bitcoin 
5,"As soon as I opened my eyes today after waking, I read the following three things:

1. Text from a friend ""It's all… https://t.co/YVbhhP7S2o",1238468763965624320,2020-03-13 14:15:37,Twitter Web App,en,,Netral,as soon as i opened my eyes today after waking i read the following three things 1 text from a friend its all 
6,@missing_clue @LibertyImplac I put in 100. If I had waited two days I could have gotten double or triple the bitcoin for it.,1238468758873628675,2020-03-13 14:15:36,Twitter for Android,en,,Netral, i put in 100 if i had waited two days i could have gotten double or triple the bitcoin for it
7,@hodl_american As long as he helps bitcoin core he can believe whatever he wants.,1238468758819287040,2020-03-13 14:15:36,Twitter for iPhone,en,,Positif, as long as he helps bitcoin core he can believe whatever he wants
8,"RT @Bitsahara: HODL #Bitcoin  !

RT for 15,000 Sats on Lightning!

8 Winners in 5 Hours!⚡️

Start Lightning: https://t.co/pE8DZE0aKL

#Ligh…",1238468756352819200,2020-03-13 14:15:35,Twitter for Android,en,,Netral, hodl bitcoin  rt for 15000 sats on lightning 8 winners in 5 hours start lightning ligh 
9,"RT @iamjosephyoung: My prediction:

BitMEX won't be the dominant bitcoin futures trading platform by 2021",1238468751944712196,2020-03-13 14:15:34,Twitter for iPhone,en,,Netral, my prediction bitmex wont be the dominant bitcoin futures trading platform by 2021
10,"RT @Bex5002: 🎊#Bex500 will launch a trading reward activity for the brilliant traders:
🏆Bag up to $200 extra profit reward
💪Duel with trade…",1238468745653256192,2020-03-13 14:15:33,Twitter for Android,en,,Positif, bex500 will launch a trading reward activity for the brilliant traders bag up to 200 extra profit reward duel with trade 
11,"Fast Bitcoin Pay By 60 Minutes! 
https://t.co/TnTjzXPaEf https://t.co/bAYXawwmo5",1238468743417794566,2020-03-13 14:15:32,Staged Marketing Toolsuite,en,,Positif,fast bitcoin pay by 60 minutes 
12,RT @hodlonaut: Bitcoin is halving its block reward at the same time the Central Banks will be doing the craziest money printing experiment…,1238468739688955905,2020-03-13 14:15:31,Twitter Web App,en,,Netral, bitcoin is halving its block reward at the same time the central banks will be doing the craziest money printing experiment 
13,RT @WomanBlockchain: I believe in life and #bitcoin,1238468735595433985,2020-03-13 14:15:30,Twitter Web App,en,,Netral, i believe in life and bitcoin
