,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,#corona eaten not only lives but also entire #economy including #StockMarket and #cryptomarket  .  #bitcoin may dow… https://t.co/Qb0g8OSQIB,1238272176886665219,2020-03-13 01:14:27,Twitter Web App,en,,Netral,corona eaten not only lives but also entire economy including stockmarket and cryptomarket  bitcoin may dow 
1,RT @B_naira01: #BitcoinCash Rt and send me a DM now to sell or buy your Bitcoin at very good rate! #BNS $$ https://t.co/PwUG90IXCL,1238272176605855747,2020-03-13 01:14:27,Twitter for iPhone,en,,Positif, bitcoincash rt and send me a dm now to sell or buy your bitcoin at very good rate bns  
2,#BTC WILL NOT GO BELOW 9k #Bitcoin https://t.co/vvXZv5GI3g,1238272174785470465,2020-03-13 01:14:27,Twitter for iPhone,en,,Netral,btc will not go below 9k bitcoin 
3,Anyone need a kidney? #BTC #Bitcoin #Bitcoin2020 #Bitcoin10k?,1238272170842886145,2020-03-13 01:14:26,Twitter Web App,en,,Netral,anyone need a kidney btc bitcoin bitcoin2020 bitcoin10k
4,"Almost $700 Mln Bitcoin (BTC) Positions Liquidated On BitMEX

https://t.co/dPhvl6Cs90",1238272170460999680,2020-03-13 01:14:26,Twitter for Android,en,,Netral,almost 700 mln bitcoin btc positions liquidated on bitmex 
5,RT @DCAAdventure: The #DCAAdventure Discord is blowing up! Everyone is excited about the #Bitcoin price action right now! If you haven't jo…,1238272170423394305,2020-03-13 01:14:26,Twitter for Android,en,,Positif, the dcaadventure discord is blowing up everyone is excited about the bitcoin price action right now if you havent jo 
6,"RT @RaoulGMI: If you think that the end of all of this, somewhere lies a digital, immutable future, then painful though it is...soon will b…",1238272167604707328,2020-03-13 01:14:25,Twitter Web App,en,,Negatif, if you think that the end of all of this somewhere lies a digital immutable future then painful though it issoon will b 
7,"I should have called myself an OG after 2019-2020 bear market. 
But after this #bloodThirstday I really am.

#crypto #bitcoin #altcoin",1238272166279462912,2020-03-13 01:14:25,Twitter for iPhone,en,,Positif,i should have called myself an og after 20192020 bear market but after this bloodthirstday i really am crypto bitcoin altcoin
8,"@KevinSvenson_ In my opinion, Bitcoin will recover pretty fast when FED cuts rates to -5%, because then Banks start… https://t.co/qdmOcXnlBB",1238272165448949761,2020-03-13 01:14:24,Twitter Web App,en,,Positif, in my opinion bitcoin will recover pretty fast when fed cuts rates to 5 because then banks start 
9,"Further market capitulation 
Bitcoin under $5000
What now?
Come and watch some TA An Chill 
and find out my opinion… https://t.co/cSoDgPEv3b",1238272165105086464,2020-03-13 01:14:24,Twitter for Android,en,,Netral,further market capitulation bitcoin under 5000 what now come and watch some ta an chill and find out my opinion 
10,"RT @cryptowhale: 1. Manipulate markets down by mass selling (using CoronaVirus as cover)

2. Have weak holders sell at the bottom. 

3. Buy…",1238272163594919936,2020-03-13 01:14:24,Twitter Web App,en,,Negatif, 1 manipulate markets down by mass selling using coronavirus as cover 2 have weak holders sell at the bottom 3 buy 
11,"Current Bitcoin Price
All Forks = $5014.03 📉 -1.85%
--
$BTC = $4756.93 📉 -3.48%
$BCH = $150.28 📉 -1.93%
$BSV = $106.82 📉 -1.55%",1238272160587755526,2020-03-13 01:14:23,Bitcoin Total Value Bot,en,,Netral,current bitcoin price all forks  501403 185  btc  475693 348 bch  15028 193 bsv  10682 155
12,I lost so much money in the stock market and Bitcoin this year el oh el im finna jump,1238272159224651782,2020-03-13 01:14:23,Twitter for iPhone,en,,Positif,i lost so much money in the stock market and bitcoin this year el oh el im finna jump
13,What's the #bitcoin miners perspective with the crash?,1238272154547843072,2020-03-13 01:14:22,Twitter for Android,en,,Netral,whats the bitcoin miners perspective with the crash
14,"RT @BitcoinComExch: $1000 #EOSDT to 200 traders and 10 👕 Give-away.
 
For a chance to #win🏆: 
1. Retweet &amp; Like this tweet
2. Follow us and…",1238272153541173248,2020-03-13 01:14:22,Twitter Web App,en,,Positif, 1000 eosdt to 200 traders and 10 giveaway for a chance to win  1 retweet amp like this tweet 2 follow us and 
15,@Isbjornforever Your hatred of Bitcoin is stopping you from seing the first rule of money.,1238272147946180609,2020-03-13 01:14:20,Twitter Web App,en,,Positif, your hatred of bitcoin is stopping you from seing the first rule of money
16,"Altcoin seems to have capitulated ... this is the worst time to sell imho . 
The rebound could be as violent as the… https://t.co/Mgzg2trVd9",1238272145450569728,2020-03-13 01:14:20,Twitter for iPhone,en,,Negatif,altcoin seems to have capitulated  this is the worst time to sell imho  the rebound could be as violent as the 
