,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,I was loaded up on bitcoin and gold miners and now I feel like I am coming down with something. Fuk you week!,1238636645374664707,2020-03-14 01:22:43,Twitter for iPhone,en,,Negatif,i was loaded up on bitcoin and gold miners and now i feel like i am coming down with something fuk you week
1,I Truly think that bitcoin is finished. Gov. like China are coming with their central banks cryptos.,1238636641901740033,2020-03-14 01:22:42,Twitter Web App,en,,Netral,i truly think that bitcoin is finished gov like china are coming with their central banks cryptos
2,"@phil_gonch Forget Bitcoin, this is the new currency",1238636636704923648,2020-03-14 01:22:41,Twitter for iPhone,en,,Positif, forget bitcoin this is the new currency
3,"RT @beeforbacon1: When the world wakes up to the truth of #bitcoin, I don't want to be the guy that says ""I sold at 4.5k because I was a sc…",1238636605948059648,2020-03-14 01:22:34,Twitter Web App,en,,Netral, when the world wakes up to the truth of bitcoin i dont want to be the guy that says i sold at 45k because i was a sc 
4,"RT @CRYPTOBULLlSH: 🎁 $200 Bitcoin Giveaway 🎉

4 winners get £50 each

To Win:
&gt; Follow me + @Bloqport
&gt; RT &amp; Like
&gt; Comment ‘#Bitcoin ’

🏆E…",1238636598297755656,2020-03-14 01:22:32,Twitter for Android,en,,Positif, 200 bitcoin giveaway 4 winners get 50 each to win gt follow me  gt rt amp like gt comment bitcoin e 
5,"RT @pierre_rochard: Bitcoin has proven itself to be easier to liquidate than:

• stocks
• bonds
• real estate
• gold

All thanks to 24/7 fi…",1238636594082590720,2020-03-14 01:22:31,Twitter Web App,en,,Positif, bitcoin has proven itself to be easier to liquidate than stocks bonds real estate gold all thanks to 247 fi 
6,"RT @Vis_in_numeris: Federal Reserve just printed $500B

People’s Bank of China just printed $79B

European Union just printed $37B

South K…",1238636584427282432,2020-03-14 01:22:29,Twitter for iPhone,en,,Netral, federal reserve just printed 500b people s bank of china just printed 79b european union just printed 37b south k 
7,"RT @melikmanukyan: March 12, 2020 in the grand scheme of things.

Zoom out and shut the fuck up, seriously. #Bitcoin https://t.co/9lFhk5fFU0",1238636573056475140,2020-03-14 01:22:26,Twitter for iPhone,en,,Negatif, march 12 2020 in the grand scheme of things zoom out and shut the fuck up seriously bitcoin 
8,@AdamPaulMoore @CryptoRothbard It's always gratifying to take cheap Bitcoin from the weak handed.,1238636572410548224,2020-03-14 01:22:26,Twitter for Android,en,,Positif, its always gratifying to take cheap bitcoin from the weak handed
9,"RT @VentureCoinist: For an investment with a time horizon greater than 1 year, I think buying Bitcoin at $5,000 is incredibly attractive.…",1238636559366316032,2020-03-14 01:22:23,Twitter for iPhone,en,,Positif, for an investment with a time horizon greater than 1 year i think buying bitcoin at 5000 is incredibly attractive 
10,"3Father, I do not know what to do with my rewards, and the burden of holding onto so many rewards gives me fear tha… https://t.co/q2C4ldCBvt",1238636557499658241,2020-03-14 01:22:22,GenesisGospel,en,,Positif,3father i do not know what to do with my rewards and the burden of holding onto so many rewards gives me fear tha 
11,"1 of #BitMEX’s Most Profitable Traders Still Thinks #Bitcoin Will Hit $30,000

https://t.co/Z2TDqxTpPl",1238636549979484161,2020-03-14 01:22:20,Twitter Web App,en,,Positif,1 of bitmex s most profitable traders still thinks bitcoin will hit 30000 
12,"RT @Danny_Walterr: As I no see Dollar buy I said Lemme buy Bitcoin but the issue is there are too many Scammers online 🤷🏻‍♂️

Someone recom…",1238636548482105356,2020-03-14 01:22:20,Twitter for Android,en,,Positif, as i no see dollar buy i said lemme buy bitcoin but the issue is there are too many scammers online someone recom 
13,@EssArrBee All my followers are Warren peeps so this may be skewed. IMO bitcoin twitter crushed them per capita,1238636517116928001,2020-03-14 01:22:13,Twitter for iPhone,en,,Negatif, all my followers are warren peeps so this may be skewed imo bitcoin twitter crushed them per capita
14,"RT @USDGtoken: Hello community 🎁

Like &amp; RT this tweet 
And reply with your ethereum address with #USDGtoken in your reply
You may win some…",1238636513052758017,2020-03-14 01:22:12,Twitter for Android,en,,Positif, hello community like amp rt this tweet and reply with your ethereum address with usdgtoken in your reply you may win some 
15,"RT @tedmrogers: 5/ Personally, nothing has changed in my investment thesis since 2013, except the time frame. #bitcoin's spread is going to…",1238636507927281664,2020-03-14 01:22:10,Twitter for iPhone,en,,Netral, 5 personally nothing has changed in my investment thesis since 2013 except the time frame bitcoins spread is going to 
16,RT @Snowden: This is the first time in a while I've felt like buying bitcoin. That drop was too much panic and too little reason.,1238636486913744896,2020-03-14 01:22:05,Twitter for Android,en,,Positif, this is the first time in a while ive felt like buying bitcoin that drop was too much panic and too little reason
17,"#btc #bitcoin #crypto #cryptocurrency

what exchange would the FED ever work with to supply cash? Binance?

dont ma… https://t.co/KGZw4tPc6o",1238636482207809536,2020-03-14 01:22:04,Twitter Web App,en,,Netral,btc bitcoin crypto cryptocurrency what exchange would the fed ever work with to supply cash binance dont ma 
18,NFL  🏈 Bears keep LB Trevathan with 3-year extension https://t.co/fpI6N0kajf ►  https://t.co/0I4IIflkwI  √ https://t.co/Mdz49EwBk0,1238636477229096961,2020-03-14 01:22:03,dlvr.it,en,,Netral,nfl bears keep lb trevathan with 3year extension 
19,Retweet if you didn’t sell during the #Bitcoin flash crash!,1238636472904933382,2020-03-14 01:22:02,Twitter for iPhone,en,,Netral,retweet if you didn t sell during the bitcoin flash crash
20,Bitcoin Climbs 12% In Bullish Trade https://t.co/67nq0JmIe4,1238636469884870656,2020-03-14 01:22:01,dlvr.it,en,,Netral,bitcoin climbs 12 in bullish trade 
21,RT @Defi_world: Ahahah.. no panic guys! #Bitcoin #comeback #hold 😀,1238636465443057664,2020-03-14 01:22:00,Twitter for Android,en,,Netral, ahahah no panic guys bitcoin comeback hold 
22,"RT @makerdemy: BITCOIN PRICE CRASHES SPECTACULARLY, LOSING 20 PER CENT OF ITS VALUE IN MINUTES

https://t.co/IF8dJl1mHn

#bitcoin #cryptote…",1238636455754375169,2020-03-14 01:21:58,Twitter Web App,en,,Positif, bitcoin price crashes spectacularly losing 20 per cent of its value in minutes bitcoin cryptote 
23,"RT @Bitcoinwalking: Saturday early morning in sunny Brisbane,Au 2nd pod I listened to from ""What Bitcoin Did"" #202 Peter mcCormack @PeterMc…",1238636434652680192,2020-03-14 01:21:53,Twitter Web App,en,,Positif, saturday early morning in sunny brisbaneau 2nd pod i listened to from what bitcoin did 202 peter mccormack 
24,2Yvonne was sought out by many for she had many rewards from the early days of the #GenesisBlock. She had never con… https://t.co/ZelU5yYwBg,1238636417607065601,2020-03-14 01:21:49,GenesisGospel,en,,Positif,2yvonne was sought out by many for she had many rewards from the early days of the genesisblock she had never con 
25,RT @100trillionUSD: Some people think S2F model broke yesterday. Of course it did not. #bitcoin oscillated nicely around model value and st…,1238636393905168386,2020-03-14 01:21:43,Twitter for iPhone,en,,Positif, some people think s2f model broke yesterday of course it did not bitcoin oscillated nicely around model value and st 
26,@Bitcoin If you sold your pathetic,1238636392294604800,2020-03-14 01:21:43,Twitter Web App,en,,Negatif, if you sold your pathetic
