,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,RT @crypto_rand: When you are trying to buy the #Bitcoin dip https://t.co/kYbmROyOim,1239098202386771970,2020-03-15 07:56:47,Twitter Web App,en,,Netral, when you are trying to buy the bitcoin dip 
1,"RT @ErikVoorhees: No, Bitcoin as a store of value isn’t dead just because it had a super shitty day. No, Ethereum and defi aren’t dead just…",1239098192630816769,2020-03-15 07:56:45,Twitter Web App,en,,Negatif, no bitcoin as a store of value isn t dead just because it had a super shitty day no ethereum and defi aren t dead just 
2,@CypherpunkNow has done incredible job in popularizing the #bitcoin space. Unique art made with passion. There are… https://t.co/KXXMrGfATJ,1239098187811565568,2020-03-15 07:56:43,Twitter Web Client,en,,Positif, has done incredible job in popularizing the bitcoin space unique art made with passion there are 
3,"What will first reach 10‘000!??

👉 The #Bitcoin Price?

Or 

👉 Our #Twitter Follower‘s Count?",1239098168496672769,2020-03-15 07:56:39,Twitter for iPhone,en,,Positif,what will first reach 10 000 the bitcoin price or our twitter follower s count
4,#Dollar-backed #stablecoins are thriving in response to Thursday’s #market #crash. #Tether’s #USDT surpassed a… https://t.co/EqPi5ysMwc,1239098161655943168,2020-03-15 07:56:37,Twitter Web App,en,,Netral,dollarbacked stablecoins are thriving in response to thursday s market crash tether s usdt surpassed a 
5,"RT @TheCryptoDog: On a serious note:

This is a real blow to confidence in Bitcoin and the surrounding industry as a whole. It won't take a…",1239098144689926144,2020-03-15 07:56:33,Twitter Web App,en,,Positif, on a serious note this is a real blow to confidence in bitcoin and the surrounding industry as a whole it wont take a 
6,"Don’t expect $btc #bitcoin going 3k anymore i will start buying at the level of 4500/4600$ level #Dyor

$ogn $knc $band $perl $ftm $wrx",1239098134644441089,2020-03-15 07:56:31,Twitter for iPhone,en,,Netral,don t expect btc bitcoin going 3k anymore i will start buying at the level of 45004600 level dyor ogn knc band perl ftm wrx
7,RT @TheMoonCarl: Are you buying this #Bitcoin dip?,1239098130584535041,2020-03-15 07:56:30,Twitter Web App,en,,Netral, are you buying this bitcoin dip
8,RT @JackMallers: 1/ Anyone relatively familiar with money management and markets should not be caught off guard by Bitcoin's recent move to…,1239098130022502400,2020-03-15 07:56:30,Twitter Web App,en,,Positif, 1 anyone relatively familiar with money management and markets should not be caught off guard by bitcoins recent move to 
9,"@lowercaseCAPllc @nicocaier @ThatChairman @Vis_in_numeris @Xentagz Bitcoin offsets fiat's ""money-printing"" tendenci… https://t.co/G2b2b2jqF2",1239098129091383297,2020-03-15 07:56:29,Twitter for Android,en,,Netral, bitcoin offsets fiats moneyprinting tendenci 
10,@BluAngelMerri @AltcoinSara I wanna But bitcoin now bit coin is falling I am really buying at good price,1239098115711553536,2020-03-15 07:56:26,Twitter for iPhone,en,,Positif, i wanna but bitcoin now bit coin is falling i am really buying at good price
11,"RT @RaoulGMI: Also, further to my bitcoin tweet, I presume you've all noticed that China and Iran have burned cash note thus far. Not far a…",1239098111173234688,2020-03-15 07:56:25,Twitter Web App,en,,Positif, also further to my bitcoin tweet i presume youve all noticed that china and iran have burned cash note thus far not far a 
12,"Remote Viewing Community Magazine.
Explore the woo.
#RemoteViewing #medium #ControlledRemoteViewing #RVCM… https://t.co/J0qSxWdvU5",1239098107448700928,2020-03-15 07:56:24,Penname,en,,Negatif,remote viewing community magazine explore the woo remoteviewing medium controlledremoteviewing rvcm 
13,"CRYPTO IS INEVITABLE 😂👋🏻
Some Indian Banks Ignore Supreme Court Verdict on Cryptocurrency, RBI Urged to Rectify

De… https://t.co/ysM0zBWJe8",1239098106878328833,2020-03-15 07:56:24,Twitter for iPhone,en,,Netral,crypto is inevitable some indian banks ignore supreme court verdict on cryptocurrency rbi urged to rectify de 
14,"1 ฿: $5269.15, 1 week ago: $0, 3 months ago: $8433, 1 year ago: $3641.47 #bitcoin  https://t.co/N0BZQbcl79",1239098104403628032,2020-03-15 07:56:24,Plattsburgh BTC status update,en,,Netral,1  526915 1 week ago 0 3 months ago 8433 1 year ago 364147 bitcoin 
15,"RT @TheBigRagu320: Big day for the energy efficient $Nano, breaking 1000 cps today. It is time to move away from the wasteful energy consum…",1239098104311361536,2020-03-15 07:56:24,Twitter for iPad,en,,Netral, big day for the energy efficient nano breaking 1000 cps today it is time to move away from the wasteful energy consum 
16,"#waves vs #Bitcoin market on #TurtleNetwork DEX

March the 15th 2020

#TurtleNetwork wallet and DEX :… https://t.co/LbVhBl57FC",1239098099232059392,2020-03-15 07:56:22,Twitter Web App,en,,Netral,waves vs bitcoin market on turtlenetwork dex march the 15th 2020 turtlenetwork wallet and dex  
17,"@DonHaci do bitcoin, gonna rise again after corona",1239098096191188992,2020-03-15 07:56:22,Twitter for iPhone,en,,Netral, do bitcoin gonna rise again after corona
18,"RT @BITCOlNBULLISH: 🎉 $300 BITCOIN GIVEAWAY 🎁

To win:
&gt; Follow me + @Bloqport 👈
&gt; RT + Like this
&gt; Comment ‘#Bitcoin’

Do something nice f…",1239098090084159488,2020-03-15 07:56:20,Twitter for Android,en,,Positif, 300 bitcoin giveaway to win gt follow me  gt rt  like this gt comment bitcoin do something nice f 
19,RT @AnondranCrypto: The only way Bitcoin is going to reverse this dump and  make a new ATH is if you memorize the Whitepaper and recite it…,1239098086045163520,2020-03-15 07:56:19,Twitter for Android,en,,Positif, the only way bitcoin is going to reverse this dump and make a new ath is if you memorize the whitepaper and recite it 
20,"RT @Crypto_Bitlord: “When this bounces, it will bounce so fucking hard it will defy gravity”

Until then, my advice is to HODL (don’t sell…",1239098083461468160,2020-03-15 07:56:19,Twitter Web App,en,,Negatif, when this bounces it will bounce so fucking hard it will defy gravity until then my advice is to hodl don t sell 
21,"RT @_ConnerBrown_: I want to shift the narrative around smart contracts. 

Here’s my new piece that takes a first principles approach to th…",1239098066600448001,2020-03-15 07:56:15,Twitter for iPhone,en,,Positif, i want to shift the narrative around smart contracts here s my new piece that takes a first principles approach to th 
22,"You cannot fix the negative effects of printing money by printing more money.

Opt out.  #Bitcoin https://t.co/67LEmgMfTo",1239098059780272128,2020-03-15 07:56:13,Twitter Web App,en,,Positif,you cannot fix the negative effects of printing money by printing more money opt out bitcoin 
23,"RT @RaoulGMI: If you think that the end of all of this, somewhere lies a digital, immutable future, then painful though it is...soon will b…",1239098033993908225,2020-03-15 07:56:07,Twitter Web App,en,,Negatif, if you think that the end of all of this somewhere lies a digital immutable future then painful though it issoon will b 
24,"RT @pet_cryto: 🎁Best make money LBRY earn token
LBC every day watch video upload  and earn
Exchange to Ethereum Bitcoin
🔘join  https://t.co…",1239098031632306177,2020-03-15 07:56:06,Twitter for Android,en,,Positif, best make money lbry earn token lbc every day watch video upload and earn exchange to ethereum bitcoin join 
25,"RT @CryptoDonAlt: Normal markets are closed for the night.

#Bitcoin markets never close. 🚀🚀

....

Can someone please close the crypto mar…",1239098009029410816,2020-03-15 07:56:01,Twitter Web App,en,,Positif, normal markets are closed for the night bitcoin markets never close  can someone please close the crypto mar 
26,"RT @RobertBeadles: When this first came out I simply said Ethereum backed stables, what could possibly go wrong, some peeps thought I was b…",1239098007074660352,2020-03-15 07:56:00,Twitter for Android,en,,Negatif, when this first came out i simply said ethereum backed stables what could possibly go wrong some peeps thought i was b 
27,"#Texas #West #Capital #trader and #crypto #analyst #Scott #Melker, aka ‘The #Wolf of All Streets’, has a grim… https://t.co/6KEb2JETLx",1239098005296472064,2020-03-15 07:56:00,Twitter Web App,en,,Negatif,texas west capital trader and crypto analyst scott melker aka the wolf of all streets  has a grim 
28,RT @Diditaihuttu: Newest Bitcoin and Gold chart 🤣🤣🤣 #CoronaVirusUpdates #toiletpapercrisis #Bitcoin #gold https://t.co/FRZ98F6f1u,1239098002616147968,2020-03-15 07:55:59,Twitter for Android,en,,Netral, newest bitcoin and gold chart coronavirusupdates toiletpapercrisis bitcoin gold 
29,RT @MichellePhan: All my friends have been hitting me up asking if they should buy. YES. Buy in the dips. #bitcoin https://t.co/YpNiBw2cBe,1239097994982678528,2020-03-15 07:55:57,Twitter Web App,en,,Netral, all my friends have been hitting me up asking if they should buy yes buy in the dips bitcoin 
30,"RT @Travis_Kling: I don't know how long this will last, but-

After the dust settles. After economic activity resumes. After CBs &amp; govts in…",1239097980877185024,2020-03-15 07:55:54,Twitter Web App,en,,Positif, i dont know how long this will last but after the dust settles after economic activity resumes after cbs amp govts in 
31,"RT @CryptooIndia: Advocate Ashim Sood Interviewed by @RJ_Purkhaa 

He shares his views on the judgement and tells which arguments played an…",1239097977588682753,2020-03-15 07:55:53,Twitter for Android,en,,Netral, advocate ashim sood interviewed by he shares his views on the judgement and tells which arguments played an 
32,"RT @koinprocom: 🚨⚠️#SHORT #BITCOIN get #USD #PROFIT ⚠️🚨

At ✅ https://t.co/hlFLF9U2B7 you wan get profit in any circumstances!

Join our ex…",1239097977223835648,2020-03-15 07:55:53,Twitter Web App,en,,Negatif, short bitcoin get usd profit at you wan get profit in any circumstances join our ex 
33,"RT @MoonOverlord: Worst day in terms of percentage drop in bitcoin history

How do you feel?",1239097968797548545,2020-03-15 07:55:51,Twitter Web App,en,,Negatif, worst day in terms of percentage drop in bitcoin history how do you feel
34,Angry Warlord game coming soon to Telos Blockchain – 233 Labs https://t.co/1n7aSGdlfW #bitcoin,1239097961294057478,2020-03-15 07:55:49,BSJJournal,en,,Negatif,angry warlord game coming soon to telos blockchain 233 labs bitcoin
35,@KameronBennett Always be buying #bitcoin especially when there’s a big dip!,1239097958932545537,2020-03-15 07:55:49,Twitter for iPhone,en,,Netral, always be buying bitcoin especially when there s a big dip
36,This Week's Edition!: The New Ethereum Classic Today Now Available https://t.co/17z6yHOvmQ #bitcoin #ethereumclassic,1239097933955465217,2020-03-15 07:55:43,Paper.li,en,,Positif,this weeks edition the new ethereum classic today now available bitcoin ethereumclassic
37,RT @MichaelIppo: Buying bitcoin right now might be the most significant decision of your life.,1239097928804950017,2020-03-15 07:55:42,Twitter for Android,en,,Positif, buying bitcoin right now might be the most significant decision of your life
38,RT @EtherSmart_ORG: Italian Red Cross Launches Bitcoin Fundraiser to Combat Coronavirus https://t.co/oIfcd9L6fF #ethersmart #forex #forextr…,1239097911394402304,2020-03-15 07:55:38,Market scanner,en,,Netral, italian red cross launches bitcoin fundraiser to combat coronavirus ethersmart forex forextr 
39,"RT @coinbase: Today Coinbase is rolling out #bitcoin batching. By bundling transactions, Coinbase users may experience network fee savings…",1239097896282345473,2020-03-15 07:55:34,Twitter Web App,en,,Netral, today coinbase is rolling out bitcoin batching by bundling transactions coinbase users may experience network fee savings 
40,"RT @udiWertheimer: 🚨BITCOINERS ASSEMBLE!🚨
The virus can cancel our conferences but it won't cancel us!

Today was our biggest VR bitcoin me…",1239097874220269570,2020-03-15 07:55:29,Twitter for Android,en,,Netral, bitcoiners assemble the virus can cancel our conferences but it wont cancel us today was our biggest vr bitcoin me 
41,"RT @danheld: I've seen worse moments in Bitcoin's history. 

We are on the path of maximum pain. Those who survive will earn the title of H…",1239097870353137664,2020-03-15 07:55:28,Twitter Web App,en,,Negatif, ive seen worse moments in bitcoins history we are on the path of maximum pain those who survive will earn the title of h 
43,"RT @Bitcoin: The outcome of the Coronavirus? 

Central banks will print 🖨️💸
And print 🖨️💸
And print 🖨️💸

#Bitcoin was built exactly for thi…",1239097826631696384,2020-03-15 07:55:17,Twitter Web App,en,,Positif, the outcome of the coronavirus central banks will print and print and print bitcoin was built exactly for thi 
44,"RT @CryptoDonAlt: So miners get half the amount of Bitcoin and can only sell it for half the price in a few week's time.

Halving sounds li…",1239097816510803970,2020-03-15 07:55:15,Twitter Web App,en,,Negatif, so miners get half the amount of bitcoin and can only sell it for half the price in a few weeks time halving sounds li 
45,Major Bitcoin Influencer ‘Can No Longer Recommend’ Trading On BitMEX https://t.co/3WVylg81fC,1239097812127821824,2020-03-15 07:55:14,IFTTT,en,,Positif,major bitcoin influencer can no longer recommend trading on bitmex 
46,Bitcoin Price Will Not Drop Below the $2000 Mark: Tone Vays https://t.co/nLoGxR7GZ2,1239097810877927424,2020-03-15 07:55:14,IFTTT,en,,Netral,bitcoin price will not drop below the 2000 mark tone vays 
