,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,@mims Fiat and debt allows future consumption to be brought forward to the now. That's &gt;1 trillion per year just in… https://t.co/txOMe3U4ro,1235810469073416192,2020-03-06 06:12:30,Twitter for Android,en,,Netral, fiat and debt allows future consumption to be brought forward to the now thats begitu1 trillion per year just in 
1,RT @traderberg: Bitcoin patterns? Scaled in price and time #BTC #USD #TA http://t.co/PpLLpaN4ZG,1235810459531374592,2020-03-06 06:12:28,Twitter Web App,en,,Netral, bitcoin patterns scaled in price and time btc usd ta 
2,"RT @real12k: People have started stocking up on $ACED while they can, price is now currently 140 sats on Graviex.
https://t.co/bgceDPhN3F…",1235810458872905732,2020-03-06 06:12:28,Twitter Web App,en,,Netral, people have started stocking up on aced while they belum price is now currently 140 sats on graviex 
3,"@ABPNews Leave Bank,Accept Bitcoin",1235810456746385411,2020-03-06 06:12:27,Twitter for Android,en,,Netral, leave bankaccept bitcoin
4,"RT @real12k: Looking to buy an $ACED #masternode now that @acedbets has launched? 10,000 coins currently costs about $145 USD on #Graviex.…",1235810438924742656,2020-03-06 06:12:23,Twitter Web App,en,,Netral, looking to buy an aced masternode now that has launched 10000 coins currently costs about 145 usd on graviex 
6,the media elites all got their jobs because their dads were friends with a guy who turns orphans in asia into bitco… https://t.co/M8NBMTlda5,1235810406737694721,2020-03-06 06:12:15,Twitter for iPhone,en,,Netral,the media elites all got their jobs because their dads were friends with a guy who turns orphans in asia into bitco 
7,RT @stacyherbert: @maxkeiser on stage at bitcoin conference in Prague http://t.co/lnuhgVkh,1235810365297922055,2020-03-06 06:12:05,Twitter Web App,en,,Netral, on stage at bitcoin conference in prague 
8,"RT @amizi: @0xB10C https://t.co/zQwylV2hvj

Some lesson learned: 
* getnewaddress is a time sink, so tradeoff size for speed and then creat…",1235810364836548609,2020-03-06 06:12:05,Twitter Web App,en,,Netral, some lesson learned  getnewaddress is a time sink so tradeoff size for speed and then creat 
9,"RT @CryptooAdy: RBI to seek review of Supreme Court order.

“ RBI is worried that trade in virtual currencies can put the banking system at…",1235810347207888896,2020-03-06 06:12:01,Twitter for Android,en,,Netral, rbi to seek review of supreme court order rbi is worried that trade in virtual currencies belum put the banking system at 
10,"RT @tjstankus: So, can I buy a beer with bitcoin yet?",1235810337892356098,2020-03-06 06:11:59,Twitter Web App,en,,Netral, so belum i buy a beer with bitcoin yet
