,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,"RT @RippleXrpie: BOOOOOOOOOOOOOOOOOM!!!!!

France has officially recognized Bitcoin as a legal financial instrument. Elsewhere, India, Sout…",1236259662342885376,2020-03-07 11:57:26,Twitter for iPhone,en,,Positif, booooooooooooooooom france has officially recognized bitcoin as a legal financial instrument elsewhere india sout 
1,"RT @BTC_Prometheus: 🚨#Bitcoin #Crypto #Giveaway🚨

🎁ONE PERSON GETS $50 IN $BTC 🤑

🧜‍♀️Rules:
✅Like &amp; Retweet
✅Follow @CoinDCX and @BTC_Prom…",1236259659826073600,2020-03-07 11:57:26,Twitter for Android,en,,Netral, bitcoin crypto giveaway one person gets 50 in btc rules like sampai retweet follow and 
2,This week given the continuing chaos unfolding in global markets – it’s time to explore the true degree of risk whi… https://t.co/6ofCTrmLyM,1236259654591627264,2020-03-07 11:57:24,Twitter Web Client,en,,Positif,this week given the continuing chaos unfolding in global markets it s time to explore the true degree of risk whi 
3,It seems to me that the #Ethereum PoS has been delayed for this year's summer to coincide with the #Bitcoin  halvin… https://t.co/QVscxTa1yI,1236259653555818501,2020-03-07 11:57:24,Twitter Web App,en,,Netral,it seems to me that the ethereum pos has been delayed for this years summer to coincide with the bitcoin halvin 
4,"RT @koinprocom: 🔶💹Do you know someone who #trade #Bitcoin?💹🔶

Then take the 🔥 41.7% 🔥 #COMMISSION 🔥 from all the #trades your friend will m…",1236259653232865280,2020-03-07 11:57:24,Twitter Web App,en,,Netral, do you know someone who trade bitcoin then take the 417 commission from all the trades your friend will m 
5,"RT @coindcx: High FIVE!!
Deposit 500, Get 500!

Celebrate with us the resounding decision by the Supreme Court.

Read more here: https://t.…",1236259642944061442,2020-03-07 11:57:22,Twitter for Android,en,,Positif, high five deposit 500 get 500 celebrate with us the resounding decision by the supreme court read more here 
6,@MrHodl @PeterMcCormack @NickSzabo4 @ErikVoorhees @LightningSats @ToxicMaximalist @JanGold_ Right to rule? Many of them also got kilt.,1236259637294288896,2020-03-07 11:57:20,Twitter for iPhone,en,,Positif, right to rule many of them also got kilt
8,"RT @DGBGiveaway: I'm not going to tell you to buy $DGB #Digibyte...but just imagine buying $100 of #Bitcoin at 0.01....#justsaying 

Digiby…",1236259610165760002,2020-03-07 11:57:14,Twitter Web App,en,,Netral, im not going to tell you to buy dgb digibytebut just imagine buying 100 of bitcoin at 001justsaying digiby 
9,"RT @cz_binance: Now #France!

#korea 2 days ago.
#India 3 days ago.

The world is turning. https://t.co/pcftU6NT1F",1236259609767108608,2020-03-07 11:57:14,Twitter for iPhone,en,,Netral, now france korea 2 days ago india 3 days ago the world is turning 
10,"How to start #blockchain in your organization with #bitcoin and #smartcontracts
https://t.co/0hjvzO9ra6 https://t.co/H6eIDdVAOr",1236259603458990085,2020-03-07 11:57:12,SocialOomph,en,,Netral,how to start blockchain in your organization with bitcoin and smartcontracts 
11,@mir_btc Maybe this bitcoin watch may cheer you up a little? https://t.co/neT8clyOl7,1236259597557682176,2020-03-07 11:57:11,Twitter for iPhone,en,,Negatif, mungkin this bitcoin watch may cheer you up a little 
13,RT @BitStarzNews: This #throwbackthursday we go back to June 2018 when @Bitcoin was in the throes of a bear market to remind ourselves what…,1236259589991075840,2020-03-07 11:57:09,Twitter Web Client,en,,Netral, this throwbackthursday we go back to june 2018 when was in the throes of a bear market to remind ourselves what 
15,RT @XNM13: Join The Revolution #Bitcoin https://t.co/039njROJQE,1236259577202642944,2020-03-07 11:57:06,Twitter Web App,en,,Netral, join the revolution bitcoin 
16,RT @Cointelegraph: French commerce court considers Bitcoin as money in a recent trial https://t.co/G6Evk8SpqD,1236259569346756608,2020-03-07 11:57:04,Twitter for iPhone,en,,Netral, french commerce court considers bitcoin as money in a recent trial 
17,"RT @Slayersteveo: 🚨🚨🚨$150 Giveaway🚨🚨🚨

$150 giveaway. 3 winners. 2 will be $50 cash. 1 will be $50 in #BTC!

To enter:

Must be following m…",1236259551877435392,2020-03-07 11:57:00,Mobile Web (M2),en,,Netral, 150 giveaway 150 giveaway 3 winners 2 will be 50 cash 1 will be 50 in btc to enter must be following m 
18,Pen is mightier than the sword. Code is mightier than the pen. #bitcoin,1236259538652848128,2020-03-07 11:56:57,Twitter for iPhone,en,,Netral,pen is mightier than the sword code is mightier than the pen bitcoin
20,"As explained yesterday, not doing anything this weekend.

Just opened #Bitcoin daily's chart, don't know if we'll h… https://t.co/1ouLIpDIkj",1236259523385589760,2020-03-07 11:56:53,Twitter for Android,en,,Netral,as explained yesterday not doing anything this weekend just opened bitcoin dailys chart dont know if well h 
21,RT @BitStarzInsider: Throw your name in the mix to be one of 50 lucky people to take home 20 mBTC each in our smashing #BitStarz free #Bitc…,1236259521200357383,2020-03-07 11:56:53,Twitter for Android,en,,Positif, throw your name in the mix to be one of 50 lucky people to take home 20 mbtc each in kami smashing bitstarz free bitc 
22,"RT @TheAtiBoy: A new #skin #giveaway is live on our #website!

Visit https://t.co/MBbNlCUnv9 and earn 1000 #coins to enter!

We host a new…",1236259501986197505,2020-03-07 11:56:48,naveensretweet,en,,Positif, a new skin giveaway is live on kami website visit and earn 1000 coins to enter we host a new 
23,"The adverts in @duolingo are tres drol
Slaut #princeHarry!
Tu es un investisseur bitcoin?? https://t.co/OHBYi8eKDg",1236259493534711808,2020-03-07 11:56:46,Twitter for Android,en,,Netral,the adverts in are tres drol slaut princeharry tu es un investisseur bitcoin 
24,"RT @zeusyeet: 🎁 20$ $USDT #Giveaway 🎁

⭐️Follow: @OKEx_Zoe
⭐️RT + Tag 2 friends 
⭐️Join the telegram group👇
https://t.co/nx7c9xhfzu

⏰ Roll…",1236259488161771520,2020-03-07 11:56:45,Twitter Web App,en,,Netral, 20 usdt giveaway follow rt  tag 2 friends join the telegram group roll 
25,@moorehn They told me i couldn’t do arithmetic but my dear economist friend keeps buying gold mining stocks and Bit… https://t.co/IbJZWJurrl,1236259477864710144,2020-03-07 11:56:42,Twitter for iPhone,en,,Netral, they told me i couldn t do arithmetic but my dear economist friend keeps buying gold mining stocks and bit 
27,"RT @NifexC: $2,000,000 NIX give away.
♦Join the link✅
https://t.co/Gc8rtesSkP
💘you can swap NIX to Bitcoin or Etherium
Active community mem…",1236259413905657857,2020-03-07 11:56:27,Twitter Web App,en,,Negatif, 2000000 nix give away join the link you belum swap nix to bitcoin or etherium active community mem 
29,"RT @Crypto556: 20000 $RPD   #Giveaway 

Two Random Winners get 10000 EACH 

RULES: 

√ FOLLOW  @Crypto556 

√ LIKE &amp; RETWEET 

√ TAG 2 FRIE…",1236259366883356674,2020-03-07 11:56:16,Twitter for Android,en,,Negatif, 20000 rpd giveaway two random winners get 10000 each rules follow like sampai retweet tag 2 frie 
31,Bitcoin is a risk-off asset. 99.9% uptime. 10 minutes a block on average. 12.5 new bitcoins every block. Halving ev… https://t.co/z1SXTWYfQs,1236259346704728069,2020-03-07 11:56:11,Twitter Web App,en,,Negatif,bitcoin is a riskoff asset 999 uptime 10 minutes a block on average 125 new bitcoins every block halving ev 
32,"RT @BTCTN: Airport Gold Seizure in Amsterdam Points to Bitcoin Utility for Private, Borderless Travel https://t.co/vNPDfch7hc https://t.co/…",1236259345840492544,2020-03-07 11:56:11,Twitter Web App,en,,Netral, airport gold seizure in amsterdam points to bitcoin utility for private borderless travel 
33,"RT @fnietom: @Gasman404 @xi27pox Bitcoin trust-minimization enables you to postpone consumption, in order to maximize subjective value of y…",1236259334897709057,2020-03-07 11:56:08,Twitter Web App,en,,Netral, bitcoin trustminimization enables you to postpone consumption in order to maximize subjective value of ya 
34,"RT @ImNotTheWolf: I find it absolutely fucking amusing how sheepish this place is.

When #bitcoin dumps, you're all running for the hills i…",1236259325519282177,2020-03-07 11:56:06,Twitter for Android,en,,Positif, i find it absolutely fucking amusing how sheepish this place is when bitcoin dumps youreply all running for the hills i 
