,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,"BitMEX $BTC Whale:
$2,000,000 worth of #Bitcoin sold at $8,299.5 16:55:15 2020/03/08
| 💰💰💰💰💰 Hey Hey Heyyyyyyyyy",1236696999128416267,2020-03-08 16:55:15,Bitmex High Trades,en,,Positif,bitmex btc whale 2000000 worth of bitcoin sold at 82995 165515 20200308  hai hai heyyyyyyyyy
1,@CashApp can you clarify what the Cash-In limit is? I'm nowhere near any of the limits posted for purchasing bitcoi… https://t.co/iuHQDWubll,1236696991142481920,2020-03-08 16:55:14,Twitter for Android,en,,Positif, belum you clarify what the cashin limit is im nowhere near any of the limits posted for purchasing bitcoi 
2,"RT @timigod: I have friends who respect my work but for whatever reason, tech/bitcoin etc isn’t just their thing. As such, they don’t use w…",1236696972674949122,2020-03-08 16:55:09,Twitter for iPhone,en,,Netral, i have friends who respect my work but for whatever reason techbitcoin et cetera isn t just their thing as such they don t use w 
3,#Bitcoin plunge protection on Bitfinex. 3500+ BTC buy wall popped up. https://t.co/51omI76FDU,1236696970737131521,2020-03-08 16:55:09,Twitter Web App,en,,Netral,bitcoin plunge protection on bitfinex 3500 btc buy wall popped up 
4,Is Twitter Helping Justin Sun and Other Cryptocurrency Celebrities Defraud? - Bitcoin News https://t.co/2BkkOiErmJ https://t.co/OfIIrVKvfr,1236696949824163841,2020-03-08 16:55:04,dlvr.it,en,,Negatif,is twitter helping justin sun and other cryptocurrency celebrities defraud  bitcoin news 
5,Predict the price of Bitcoin and earn CHSB - https://t.co/DoRRDBAtKA #BTC #giveaway #coins,1236696948310237187,2020-03-08 16:55:03,AutoBotALT_Cash,en,,Netral,predict the price of bitcoin and earn chsb  btc giveaway coins
6,"RT @ApeOfSatoshi: $Pi π Currency has reached 3.5 Million users🎊

Go https://t.co/KhNlnJnUaD (Google Play) and use Code (Bonus25)

Upon reac…",1236696945156128769,2020-03-08 16:55:03,Twitter for iPhone,en,,Netral, tapi currency has reached 35 million users go google play and use code bonus25 upon reac 
7,"RT @DTAPCAP: If there were ever a time for middle east currency dollar pegs to break, this is it. Saudi, Qatar, UAE trouble. ME stock marke…",1236696934653530112,2020-03-08 16:55:00,Twitter for Android,en,,Negatif, if there were ever a time for middle east currency dollar pegs to break this is it saudi qatar uae trouble me stock marke 
8,"RT @TUSCNetwork: Bad Ideas

✅ This is the first official TUSC commercial.
🙏🏼 Share this &amp; help get the word out about #TUSC.

#2a #RKBA #Pe…",1236696933848117248,2020-03-08 16:55:00,Twitter Web App,en,,Negatif, bad ideas this is the first official tusc commercial share this sampai help get the word out about tusc 2a rkba pe 
9,"CFxMLRS profile for 03/08/20

More Live Updates 24/7 @
https://t.co/LodmWIN7zf

#CFx #MachineLearning #Finance… https://t.co/bKDXCtnrSV",1236696933068148736,2020-03-08 16:55:00,TweetDeck,en,,Positif,cfxmlrs profile for 030820 more live updates 247  cfx machinelearning finance 
10,RT @JaxAustin: Toilet paper is the new bitcoin,1236696932917161987,2020-03-08 16:55:00,Twitter for iPhone,en,,Positif, toilet paper is the new bitcoin
11,RT @GrindingPoet: Bitcoin didn't dump... It just smol'd a bit... Is oke tho,1236696922259427329,2020-03-08 16:54:57,Twitter Web App,en,,Netral, bitcoin didnt dump it just smoldi a bit is oke tho
12,"@bgreysk @davidgerard Honest question, why this fantasy? What have you got against bitcoin?",1236696921353437187,2020-03-08 16:54:57,Twitter for iPhone,en,,Positif, honest question why this fantasy what have you got against bitcoin
13,"@ihatecodee Mine is my #crypto cocktail, I add daily #Bitcoin in my portfolio to reach #financial #freedom",1236696921059852288,2020-03-08 16:54:57,Twitter Web App,en,,Netral, mine is my crypto cocktail i add daily bitcoin in my portfolio to reach financial freedom
14,RT @TheRealLimitup: #NXS $NXS   Nexus bigger than bitcoin? https://t.co/XMg2nhV0Ca,1236696916869689344,2020-03-08 16:54:56,Twitter for Android,en,,Netral, nxs nxs nexus bigger than bitcoin 
