,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,"RT @jebus911: Didn't know 'oil' was a cryptocurrency 

https://t.co/3RIErpW8eL",1237440165133639687,2020-03-10 18:08:20,TweetDeck,en,,Netral, didnt know oil was a cryptocurrency 
1,"RT @zeusyeet: In other to support your good job of your #charity, we will be doing a #giveaway of #1000 #XVG to someone that  🎁

⭐️Follow:…",1237440141309837312,2020-03-10 18:08:14,Twitter for Android,en,,Positif, in other to support your bagus job of your charity we will be doing a giveaway of 1000 xvg to someone that follow 
2,"RT @p2pb2b: HnB Exchange Token IEO is in progress on P2PB2B
🔹Participate in IEO: https://t.co/w8PlnrcWNg   

@HnB_exchange is a cryptocurre…",1237440137354784770,2020-03-10 18:08:13,Twitter for iPhone,en,,Netral, hnb exchange token ieo is in progress on p2pb2b participate in ieo is a cryptocurre 
3,"RT @KingCrypto_: Want to trade altcoins? I'd recommend using Binance to get started...

👉https://t.co/EQZfX0xBCJ

#cryptocurrency #bitcoin…",1237440092102430721,2020-03-10 18:08:03,SocialBee.io v2,en,,Netral, want to trade altcoins idi recommend using binance to get started cryptocurrency bitcoin 
4,"New article: ""Future FinTech Announces Shanchun Huang as New CEO"" has been published on Fintech Zoom -… https://t.co/aBu4BCvb66",1237440049433755648,2020-03-10 18:07:52,App for FintechZoom.com,en,,Positif,new article future fintech announces shanchun huang as new ceo has been published on fintech zoom  
5,RT @ozcar_official: Ozcar platform is making a buzz in the Social Networking Market. Be a part of its successful journey and participate in…,1237440042399916032,2020-03-10 18:07:51,Twitter for Android,en,,Positif, ozcar platform is making a buzz in the social networking market be a part of its successful journey and participate in 
7,I just published Review Hunt is a platform that we can make quests and earn cryptocurrency - I did 25$ in just 1 day https://t.co/xErvgUwpoy,1237440012754583554,2020-03-10 18:07:44,Twitter Web Client,en,,Netral,i just published review hunt is a platform that we belum make quests and earn cryptocurrency  i did 25 in just 1 day 
8,"RT @NomicsFinance: 🚀 Just launched: the industry's first fully customizable daily newsletter at https://t.co/TsyLF4NWW3

This customizable…",1237439991137083392,2020-03-10 18:07:39,Twitter Web App,en,,Positif, just launched the industrys first fully customizable daily newsletter at this customizable 
9,"Great project, I advise you to pay attention. #AKA #AKACommunity #blockchain #crypto #cryptocurrency #socialmedia… https://t.co/RHuFShSgTV",1237439953904205832,2020-03-10 18:07:30,Twitter Web App,en,,Positif,great project i advise you to pay attention dikenal juga sebagai akacommunity blockchain crypto cryptocurrency socialmedia 
10,"Cryptocurrency exchange #Bithumb is clamping down on suspicious transactions less than a week after South Korea, it… https://t.co/irvHp4OuzY",1237439926502748160,2020-03-10 18:07:23,1buvtw,en,,Negatif,cryptocurrency exchange bithumb is clamping down on suspicious transactions kurang than a week after south korea it 
