,tweets,id,date,source,lang,place,sentiment,tweet_bersih
0,"Smoothly and easily switch from one #altcoin to another using Changelly
https://t.co/f9KX3lXOEY
#bitcoin #ethereum… https://t.co/b7rlOyN04y",1238636725863317504,2020-03-14 01:23:02,Buffer,en,,Positif,smoothly and easily switch from one altcoin to another using changelly bitcoin ethereum 
1,RT @JoelKatz: @rockhardfister I believe the entire cryptocurrency industry is built around the promise of what the technology could do in t…,1238636715046248448,2020-03-14 01:23:00,Twitter for iPad,en,,Netral, i believe the entire cryptocurrency industry is built around the promise of what the technology could do in t 
2,"New article: ""This Crypto’s Defense of a Key Level Puts a Move to All-Time Highs in the Cards"" has been published o… https://t.co/R79zae7Y6S",1238636714475819009,2020-03-14 01:23:00,App for FintechZoom.com,en,,Positif,new article this crypto s defense of a key level puts a move to alltime highs in the cards has been published o 
3,"RT @_Cardano_ADA: Charles Hoskinson, CEO of IOHK, confirmed Cardano updates are due to be rolled out soon https://t.co/DTh1l3eS7l
-
#Blockc…",1238636713997553665,2020-03-14 01:23:00,Twitter for Android,en,,Positif, charles hoskinson ceo of iohk confirmed cardano updates are due to be rolled out soon  blockc 
4,"The ""iASTRA Coin"" will go far beyond the boundaries of popular news and entertainment sites.

In addition to The ""i… https://t.co/WjdMwH1lHD",1238636524574584833,2020-03-14 01:22:14,The Social Jukebox,en,,Positif,the iastra coin will go far beyond the boundaries of popular news and entertainment sites in addition to the i 
5,"RT @USDGtoken: Hello community 🎁

Like &amp; RT this tweet 
And reply with your ethereum address with #USDGtoken in your reply
You may win some…",1238636513052758017,2020-03-14 01:22:12,Twitter for Android,en,,Positif, hello community like amp rt this tweet and reply with your ethereum address with usdgtoken in your reply you may win some 
6,"RT @zeusyeet: 💰$15 $ETH #GIVEAWAY

 To enter the giveaway:

⭐ Follow me &amp; @M3OWWW
⭐ Retweet and Like this Tweet
⭐ Tag 2 friends

⏰ Rolling…",1238636486725177348,2020-03-14 01:22:05,Twitter for Android,en,,Netral, 15 eth giveaway to enter the giveaway follow me amp retweet and like this tweet tag 2 friends rolling 
7,"#btc #bitcoin #crypto #cryptocurrency

what exchange would the FED ever work with to supply cash? Binance?

dont ma… https://t.co/KGZw4tPc6o",1238636482207809536,2020-03-14 01:22:04,Twitter Web App,en,,Netral,btc bitcoin crypto cryptocurrency what exchange would the fed ever work with to supply cash binance dont ma 
8,Cryptocurrency's Necessary and Inevitable Evolution - Global Trade Magazine https://t.co/8lQbOmSNwE https://t.co/Zywrb9iZZM,1238636473173200896,2020-03-14 01:22:02,dlvr.it,en,,Netral,cryptocurrencys necessary and inevitable evolution  global trade magazine 
9,"RT @makerdemy: BITCOIN PRICE CRASHES SPECTACULARLY, LOSING 20 PER CENT OF ITS VALUE IN MINUTES

https://t.co/IF8dJl1mHn

#bitcoin #cryptote…",1238636455754375169,2020-03-14 01:21:58,Twitter Web App,en,,Positif, bitcoin price crashes spectacularly losing 20 per cent of its value in minutes bitcoin cryptote 
10,"RT @FinTechZoom: New article: ""UAE Banking Executive Explains How Fintech, AI, Robotic Process Automation is Transforming Finance Sector"" h…",1238636454479347713,2020-03-14 01:21:58,inter discipl,en,,Positif, new article uae banking executive explains how fintech ai robotic process automation is transforming finance sector h 
11,"RT @zeusyeet: 💰 500 $TRX #Giveaway

 To enter the giveaway:

☑️Follow me &amp; @ASLAproject
☑️Retweet and Like
☑️Tag 2 friends

⏰Rolling in 2 D…",1238636438196895745,2020-03-14 01:21:54,Twitter for Android,en,,Netral, 500 trx giveaway to enter the giveaway follow me amp retweet and like tag 2 friends rolling in 2 d 
12,"RT @cryptobrice: 🚨$10 #ETH #Giveaway 

⭐️Follow Me &amp; @GermanCoin_GCX 
⭐️Like+RT
⭐️Tag a friend

⏰Rolling in 24 hours!!

https://t.co/DzaYil…",1238636420421562368,2020-03-14 01:21:50,Twitter Web App,en,,Netral, 10 eth giveaway follow me amp likert tag a friend rolling in 24 hours 
14,"Emergency laws could force UK schools and nurseries to remai.. 
MailOnline - Coronavirus - News - Noticias - Bitcoi… https://t.co/9cXfB7KMiz",1238636345142185984,2020-03-14 01:21:32,MAX_NET,en,,Netral,emergency laws could force uk schools and nurseries to remai mailonline  coronavirus  news  noticias  bitcoi 
15,"Minimum to start $10, one time out of pocket. https://t.co/Y3SmL6brbq  #ethereum #eth #cryptocurrency #blockchain",1238636342663315456,2020-03-14 01:21:31,Staged Marketing Toolsuite,en,,Netral,minimum to start 10 one time out of pocket ethereum eth cryptocurrency blockchain
16,BLOCKCHAIN - CRYPTOCURRENCY COIN OFFERING https://t.co/TS69qhTEfF,1238636322912382977,2020-03-14 01:21:26,Google,en,,Netral,blockchain  cryptocurrency coin offering 
17,"RT @PlayRoyal_EN: $DMX is now Live on https://t.co/TX6ps3YCUN 
Playable &amp; Paired on the Exchange with #TRX 
2 competitions Starting soon

h…",1238636283016011776,2020-03-14 01:21:17,Twitter Web App,en,,Positif, dmx is now live on playable amp paired on the exchange with trx 2 competitions starting soon h 
18,"RT @egorasmarket: The Egoras Network interacts with two kinds of tokens:
1. The Egoras Dollar(EUSD)—a stable cryptocurrency that can be hel…",1238636088014581760,2020-03-14 01:20:30,Twitter Web App,en,,Netral, the egoras network interacts with two kinds of tokens 1 the egoras dollareusd a stable cryptocurrency that can be hel 
19,"As #toiletpaper's now hot enough to have its own #cryptocurrency (@Buttcoin), we’re thankfully not out of… https://t.co/NBFHh7m2xl",1238635981437169664,2020-03-14 01:20:05,Twitter Web App,en,,Positif,as toiletpapers now hot enough to have its own cryptocurrency  we re thankfully not out of 
20,"New article: ""UAE Banking Executive Explains How Fintech, AI, Robotic Process Automation is Transforming Finance Se… https://t.co/qgC2O50Ly9",1238635962240053248,2020-03-14 01:20:00,App for FintechZoom.com,en,,Positif,new article uae banking executive explains how fintech ai robotic process automation is transforming finance se 
21,"RT @maxjcm: #Fintech threaten range of penalties and services mainstream banks charge that make billions

#VC #fintech #banking #finserv #c…",1238635922704543744,2020-03-14 01:19:51,Twitter Web Client,en,,Netral, fintech threaten range of penalties and services mainstream banks charge that make billions vc fintech banking finserv c 
22,RT @BigTexCrypto1: Everyone be ready for another drop in about 40 min when the Emergency Declaration is announced.  I hope we dont drop lik…,1238635802206310402,2020-03-14 01:19:22,Twitter for Android,en,,Positif, everyone be ready for another drop in about 40 min when the emergency declaration is announced i hope we dont drop lik 
23,@RyanWatkins_ @twobitidiot @onchainfx Except XRP isn't a cryptocurrency.,1238635789652819973,2020-03-14 01:19:19,Twitter Web App,en,,Netral, except xrp isnt a cryptocurrency
